iShares Russell 2000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"283,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","125,809,799.91","0.18","125,809,799.91","5,534,967.00","22.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDNT","RADNET INC","Health Care","Equity","125,346,603.48","0.18","125,346,603.48","1,700,076.00","73.73","United States","NASDAQ","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","124,999,461.20","0.18","124,999,461.20","3,520,120.00","35.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FTDR","FRONTDOOR INC","Consumer Discretionary","Equity","124,262,949.24","0.18","124,262,949.24","1,848,051.00","67.24","United States","NASDAQ","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","123,594,596.56","0.18","123,594,596.56","1,005,161.00","122.96","United States","NASDAQ","USD","1.00","USD","-"
"ABG","ASBURY AUTOMOTIVE GROUP INC","Consumer Discretionary","Equity","123,115,446.35","0.18","123,115,446.35","486,911.00","252.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","122,988,293.35","0.18","122,988,293.35","906,659.00","135.65","United States","NASDAQ","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Financials","Equity","122,798,291.64","0.18","122,798,291.64","1,645,428.00","74.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CWAN","CLEARWATER ANALYTICS HOLDINGS INC","Information Technology","Equity","121,831,919.30","0.17","121,831,919.30","6,122,207.00","19.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AUB","ATLANTIC UNION BANKSHARES CORP","Financials","Equity","121,785,000.62","0.17","121,785,000.62","3,442,199.00","35.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TTMI","TTM TECHNOLOGIES INC","Information Technology","Equity","121,426,613.76","0.17","121,426,613.76","2,512,968.00","48.32","United States","NASDAQ","USD","1.00","USD","-"
"GKOS","GLAUKOS CORP","Health Care","Equity","121,401,624.81","0.17","121,401,624.81","1,387,923.00","87.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","121,158,513.65","0.17","121,158,513.65","2,983,465.00","40.61","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP INC","Financials","Equity","120,800,253.90","0.17","120,800,253.90","1,515,687.00","79.70","United States","NASDAQ","USD","1.00","USD","-"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Financials","Equity","120,692,588.50","0.17","120,692,588.50","3,343,285.00","36.10","United States","NASDAQ","USD","1.00","USD","-"
"OPCH","OPTION CARE HEALTH INC","Health Care","Equity","120,213,583.38","0.17","120,213,583.38","4,093,074.00","29.37","United States","NASDAQ","USD","1.00","USD","-"
"NPO","ENPRO INC","Industrials","Equity","120,054,335.37","0.17","120,054,335.37","525,241.00","228.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AX","AXOS FINANCIAL INC","Financials","Equity","120,056,364.00","0.17","120,056,364.00","1,301,424.00","92.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GVA","GRANITE CONSTRUCTION INC","Industrials","Equity","120,011,687.26","0.17","120,011,687.26","1,095,197.00","109.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","119,210,431.20","0.17","119,210,431.20","2,514,988.00","47.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACA","ARCOSA INC","Industrials","Equity","118,453,394.55","0.17","118,453,394.55","1,206,615.00","98.17","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PI","IMPINJ INC","Information Technology","Equity","118,392,692.34","0.17","118,392,692.34","645,438.00","183.43","United States","NASDAQ","USD","1.00","USD","-"
"QBTS","D WAVE QUANTUM INC","Information Technology","Equity","118,287,759.52","0.17","118,287,759.52","7,160,276.00","16.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
