iShares Russell 1000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","60,844,226.18","0.14","60,844,226.18","184,589.00","329.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","59,778,315.19","0.13","59,778,315.19","195,437.00","305.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WM","WASTE MANAGEMENT INC","Industrials","Equity","59,570,059.50","0.13","59,570,059.50","270,159.00","220.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","59,475,841.50","0.13","59,475,841.50","121,305.00","490.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSTR","STRATEGY INC CLASS A","Information Technology","Equity","59,467,678.10","0.13","59,467,678.10","182,405.00","326.02","United States","NASDAQ","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","58,897,866.30","0.13","58,897,866.30","113,549.00","518.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","58,831,572.80","0.13","58,831,572.80","134,288.00","438.10","United States","NASDAQ","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","58,722,010.30","0.13","58,722,010.30","946,366.00","62.05","United States","NASDAQ","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","58,511,217.00","0.13","58,511,217.00","288,588.00","202.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","57,741,780.45","0.13","57,741,780.45","99,051.00","582.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","56,936,882.08","0.13","56,936,882.08","71,396.00","797.48","United States","NASDAQ","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","56,845,925.25","0.13","56,845,925.25","152,709.00","372.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","56,768,241.66","0.13","56,768,241.66","213,118.00","266.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","56,463,815.61","0.13","56,463,815.61","493,263.00","114.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","56,351,702.40","0.13","56,351,702.40","409,920.00","137.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","56,081,722.68","0.13","56,081,722.68","1,137,099.00","49.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","55,443,305.96","0.12","55,443,305.96","184,436.00","300.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","54,977,472.00","0.12","54,977,472.00","520,620.00","105.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RBLX","ROBLOX CORP CLASS A","Communication","Equity","54,748,673.28","0.12","54,748,673.28","411,768.00","132.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","54,710,576.10","0.12","54,710,576.10","403,173.00","135.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","53,723,004.40","0.12","53,723,004.40","291,640.00","184.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","52,903,306.46","0.12","52,903,306.46","12,149.00","4,354.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","52,652,408.50","0.12","52,652,408.50","887,450.00","59.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
